Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.02  169894/169894      std::vector<String, std::allocator<String> >::_M_check_len(unsigned long, char const*) const [38]
                0.01    0.01  169894/169894      __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >::difference_type __gnu_cxx::operator-<String*, std::vector<String, std::allocator<String> > >(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > > const&, __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > > const&) [41]
                0.00    0.01  169894/239846      void std::_Destroy<String*, String>(String*, String*, std::allocator<String>&) [44]
                0.01    0.00  339788/679576      __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >::base() const [46]
                0.00    0.00  169894/169895      std::_Vector_base<String, std::allocator<String> >::_M_allocate(unsigned long) [54]
                0.00    0.00  509682/579635      std::_Vector_base<String, std::allocator<String> >::_M_get_Tp_allocator() [80]
                0.00    0.00  169894/169894      std::vector<String, std::allocator<String> >::begin() [90]
                0.00    0.00  169894/239846      std::_Vector_base<String, std::allocator<String> >::_M_deallocate(String*, unsigned long) [85]
-----------------------------------------------
                0.24    0.00 2644560/2644560     String::operator+(String const&) const [5]
[11]    11.7    0.24    0.00 2644560         String::String(int, char const*) [11]
-----------------------------------------------
                0.00    0.21    9992/9992        LogEntry::LogEntry(String) [3]
[12]    10.4    0.00    0.21    9992         Time::Time(String) [12]
                0.00    0.18    9992/69951       String::split(char) const [4]
                0.02    0.00   29976/858950      String::String(String const&) [7]
                0.00    0.00   29976/10382507     String::length() const [6]
                0.00    0.00    9992/69952       std::vector<String, std::allocator<String> >::~vector() [55]
                0.00    0.00   29976/6757838     String::~String() [36]
                0.00    0.00   59952/234672      std::vector<String, std::allocator<String> >::operator[](unsigned long) [86]
                0.00    0.00   29976/47389       stoi(String, int) [102]
-----------------------------------------------
                0.01    0.19  339788/339788      String* std::__uninitialized_copy_a<String*, String*, String>(String*, String*, String*, std::allocator<String>&) [14]
[13]     9.8    0.01    0.19  339788         String* std::uninitialized_copy<String*, String*>(String*, String*, String*) [13]
                0.00    0.19  339788/339788      String* std::__uninitialized_copy<false>::__uninit_copy<String*, String*>(String*, String*, String*) [17]
-----------------------------------------------
